State,Crop_Type,Records,Avg_Yield,Avg_Market_Price,Avg_Revenue,Avg_Profit,Avg_Profit_per_Ha
Rajasthan,Maize,133,4.516992481203007,37799.296090225565,451231199.8515246,159419.6766917293,57.23535077465858
Rajasthan,Millets,113,4.919911504424779,38391.628141592926,504666682.9059372,163310.6814159292,63.166636359001984
Rajasthan,Pulses,122,4.47155737704918,40154.945163934426,415508645.7959846,129920.2131147541,56.97167044962405
Rajasthan,Rice,117,4.904529914529915,35987.497948717944,504384588.84073657,182000.88034188034,67.0664915607151
Rajasthan,Sugarcane,136,4.810367647058824,36712.40110294118,457452967.6074959,157682.1911764706,62.56505624197602
Rajasthan,Wheat,112,4.496875,36343.509375,418193967.9317502,153541.5267857143,59.940138220761064
Tamil Nadu,Barley,122,5.060819672131148,37922.44549180328,485240846.01531416,165124.2868852459,65.98764988096507
Tamil Nadu,Cotton,115,4.750347826086956,36817.67104347826,466433889.7671824,167911.25217391303,62.49713759218178
Tamil Nadu,Maize,104,4.924326923076923,37996.839711538465,477218560.6502196,165444.34615384616,64.83773317085314
Tamil Nadu,Millets,133,4.902406015037593,38299.20172932331,452199262.77921605,148974.62406015038,61.765201685561756
Tamil Nadu,Pulses,117,4.841709401709402,38412.36034188034,462828060.98220223,160965.81196581197,62.12538943499395
Tamil Nadu,Rice,145,4.714965517241379,38119.92855172414,435820728.5633044,159612.4551724138,63.51984045120233
Tamil Nadu,Sugarcane,115,5.072608695652174,37575.67113043478,469435837.60287374,167552.58260869567,66.31191224382968
Tamil Nadu,Wheat,139,4.6665467625899275,36363.48575539568,427335485.7781516,145786.69064748203,58.51818715031525
Uttar Pradesh,Barley,145,4.842413793103448,39549.71462068966,531475806.6595034,173192.75862068965,62.89632660167423
Uttar Pradesh,Cotton,121,4.905785123966942,37940.99421487603,454854296.860413,163064.57024793388,65.90239179149073
Uttar Pradesh,Maize,112,4.8030357142857145,40340.488750000004,436539073.3226522,144916.54464285713,61.71124945445139
Uttar Pradesh,Millets,111,4.591081081081081,40454.573333333334,444192435.47342765,146930.00900900902,59.74337910528919
Uttar Pradesh,Pulses,111,5.196756756756757,39478.78774774775,525377370.5882603,168697.31531531533,67.46108053691502
Uttar Pradesh,Rice,132,4.8362878787878785,42332.50212121212,578713076.1393784,179943.0303030303,62.93375226599977
Uttar Pradesh,Sugarcane,118,4.782542372881356,39471.7693220339,505496213.2069818,163068.34745762713,60.5598008821751
Uttar Pradesh,Wheat,140,5.1105,36944.620357142856,554566222.0051975,177995.35714285713,66.0504381804296
Uttarakhand,Barley,123,4.754146341463414,39771.13130081301,505883127.8694837,164569.0325203252,61.64479479527452
Uttarakhand,Cotton,127,4.796535433070866,37599.9162992126,466744279.8220067,158904.031496063,62.33727798010457
Uttarakhand,Maize,112,4.855357142857143,39827.859375,479649713.4409866,165992.1517857143,64.68304742503967
Uttarakhand,Millets,129,4.714031007751938,37449.918139534886,412811064.61406106,147124.43410852714,59.53545516857729
Uttarakhand,Pulses,129,4.86139534883721,38424.91217054264,455974047.1763343,152582.90697674418,62.59737284635197
Uttarakhand,Rice,125,5.0563199999999995,38815.09824,495513060.3211838,160511.696,64.86434223051474
Uttarakhand,Sugarcane,113,4.921504424778761,37182.98584070797,434164366.9281548,167183.67256637168,65.6990124436997
Uttarakhand,Wheat,132,5.178636363636364,41380.65393939394,524031587.7676126,163647.31818181818,67.08040730628535
West Bengal,Barley,120,5.03425,36221.33983333334,464733297.0166375,169932.375,67.61891574625909
West Bengal,Cotton,130,4.833923076923076,37866.83092307692,465506131.2373866,162594.73846153845,62.85410364941429
West Bengal,Maize,109,4.926330275229358,37110.89275229358,445928314.67997926,160897.63302752294,63.73469242188706
West Bengal,Millets,130,4.685153846153846,41242.392,509212815.1287906,161079.3,60.27462002498584
West Bengal,Pulses,131,4.967251908396947,39463.05916030534,486045412.03291225,156286.25954198473,62.10140397982528
West Bengal,Rice,128,4.803671875,39523.65296875,512372542.68843186,171804.0390625,62.02464035111907
West Bengal,Sugarcane,123,4.854552845528455,38751.412276422765,491597605.9326166,164570.9024390244,63.13002042171195
West Bengal,Wheat,119,5.0615966386554625,37192.35403361345,475138260.04046607,169287.05042016806,65.9616290741265
