Record_ID,State,District,Year,Season,Crop_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Cultivated_Area_hectares,Yield_ton_per_hectare,Market_Price_per_ton,Farmer_Profit_INR,Estimated_Production_tons,Estimated_Revenue_INR,Profit_per_hectare_INR,Profit_per_ton_INR,Profit_to_Revenue_Ratio,Revenue_per_hectare_INR,Profit_Level,Profit_per_Ha_Level
11,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,675.11,33.3,64.7,Black,Canal,361.45,34.17,102.8,3.57,13032.27,6346.0,366.996,4782790.9609199995,61.73151750972763,17.291741599363483,0.001326840343191438,46525.20389999999,Lower relative profit,Moderate relative profit/ha
12,Uttarakhand,Dehradun,2014,Zaid,Sugarcane,1980.42,36.9,39.7,Black,Rain-fed,244.4,8.81,3826.95,6.79,18804.75,331382.0,25984.9905,488641250.10487497,86.59167221939143,12.752823596375762,0.0006781703344301712,127684.2525,Higher relative profit,Higher relative profit/ha
13,Uttarakhand,Dehradun,2014,Rabi,Barley,2135.85,36.6,76.5,Alluvial,Drip,325.95,44.21,2055.06,6.1,31791.29,213061.0,12535.865999999998,398531351.40713996,103.67629168978036,16.996113391767274,0.0005346154054071814,193926.86899999998,Moderate relative profit,Higher relative profit/ha
14,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,515.25,18.4,65.5,Alluvial,Sprinkler,285.38,5.4,3568.42,1.63,15572.22,48359.0,5816.5246,90576200.70661199,13.551936151013614,8.31407125829056,0.0005339040456845949,25382.718599999997,Lower relative profit,Lower relative profit/ha
15,Uttarakhand,Dehradun,2014,Kharif,Sugarcane,901.26,27.7,64.7,Alluvial,Tube Well,339.34,53.53,2923.44,2.97,37067.57,104804.0,8682.616800000002,321843506.01717603,35.849547108885425,12.070554582116301,0.0003256365222245834,110090.68290000001,Moderate relative profit,Lower relative profit/ha
16,Uttarakhand,Dehradun,2014,Kharif,Pulses,1162.44,27.3,75.1,Black,Drip,319.35,59.13,582.25,4.14,29983.04,40055.0,2410.515,72274567.6656,68.79347359381708,16.616781061308476,0.0005542060131763982,124129.7856,Lower relative profit,Moderate relative profit/ha
17,Uttarakhand,Dehradun,2014,Zaid,Millets,652.33,21.7,60.4,Alluvial,Canal,399.79,9.15,4059.31,7.45,17189.16,439156.00000000006,30241.8595,519832161.64302,108.18488856480536,14.521461552322869,0.0008448034431189697,128059.242,Higher relative profit,Higher relative profit/ha
18,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,699.36,27.7,46.8,Red,Tube Well,210.42,8.22,1956.97,8.39,26055.76,260088.0,16418.978300000002,427808958.030008,132.90341701712342,15.840693327428294,0.0006079536090073096,218607.82640000002,Higher relative profit,Higher relative profit/ha
19,Uttarakhand,Haridwar,2014,Zaid,Millets,678.63,23.9,88.3,Black,Canal,281.67,34.82,3765.08,1.62,42961.41,79466.0,6099.4296,262040095.81173605,21.106058835403232,13.028431379878537,0.00030325893353776184,69597.48420000002,Moderate relative profit,Lower relative profit/ha
20,Uttarakhand,Haridwar,2014,Kharif,Rice,1932.42,19.4,38.7,Laterite,Sprinkler,394.73,27.21,4713.82,5.36,42682.71,212170.0,25266.0752,1078424560.599792,45.01020403833834,8.39742612655566,0.00019674069726490325,228779.3256,Moderate relative profit,Moderate relative profit/ha
21,Uttarakhand,Haridwar,2014,Kharif,Pulses,2082.47,22.1,74.4,Alluvial,Tube Well,145.47,26.77,3391.28,3.39,28757.39,178409.0,11496.4392,330607585.685688,52.608159750890515,15.518631194952954,0.0005396397654638671,97487.5521,Moderate relative profit,Moderate relative profit/ha
22,Uttarakhand,Haridwar,2014,Zaid,Rice,531.87,22.3,49.6,Red,Sprinkler,423.3,53.45,4408.42,3.9,20360.58,280887.0,17192.838,350056153.52604,63.716025242603926,16.337442369898444,0.0008024055488546221,79406.262,Higher relative profit,Moderate relative profit/ha
23,Uttarakhand,Haridwar,2014,Rabi,Wheat,1602.15,29.1,86.2,Sandy,Drip,91.43,53.3,1395.88,7.69,51348.08,102561.0,10734.317200000001,551186578.3309761,73.47408086655012,9.55449686171003,0.00018607310851175016,394866.73520000005,Moderate relative profit,Moderate relative profit/ha
24,Uttarakhand,Haridwar,2014,Kharif,Pulses,766.48,30.7,49.5,Red,Drip,245.41,54.79,4245.91,1.87,34449.52,85487.0,7939.8517,273524079.936184,20.13396421497394,10.766825783408523,0.0003125392105146465,64420.602399999996,Moderate relative profit,Lower relative profit/ha
25,Uttarakhand,Haridwar,2014,Rabi,Cotton,690.85,26.8,73.8,Sandy,Sprinkler,274.36,11.15,4730.75,6.24,19899.88,246795.0,29519.88,587442069.6144,52.16826084658881,8.36029821259436,0.00042011802144507204,124175.25120000001,Higher relative profit,Moderate relative profit/ha
26,Uttarakhand,Haridwar,2014,Rabi,Maize,1173.62,18.8,55.1,Sandy,Tube Well,423.24,58.47,295.48,3.81,48149.53,16514.0,1125.7788,54205720.103964,55.88872343305807,14.668956281642538,0.0003046541945818067,183449.7093,Lower relative profit,Moderate relative profit/ha
27,Uttarakhand,Haridwar,2014,Rabi,Maize,2066.37,22.7,43.9,Black,Rain-fed,369.95,14.74,2120.24,2.51,60997.83,84211.0,5321.802399999999,324618398.0887919,39.71767347092782,15.823774291206307,0.00025941536430404666,153104.55329999997,Moderate relative profit,Moderate relative profit/ha
28,Uttarakhand,Haridwar,2014,Kharif,Maize,1817.27,20.2,83.0,Black,Canal,393.44,17.23,4101.27,4.56,28175.12,298358.0,18701.7912,526925211.27494395,72.7477098557276,15.953445143799916,0.0005662245677675878,128478.54719999997,Higher relative profit,Moderate relative profit/ha
29,Uttarakhand,Haridwar,2014,Kharif,Sugarcane,1117.24,23.6,38.8,Alluvial,Rain-fed,359.33,24.31,2596.09,6.16,56714.04,180893.0,15991.914400000001,906966072.9581761,69.6790172913882,11.311528781069512,0.00019944847485859783,349358.48640000005,Moderate relative profit,Moderate relative profit/ha
30,Uttarakhand,Haridwar,2014,Zaid,Maize,1445.06,37.7,37.1,Black,Rain-fed,288.63,24.01,3953.5,4.39,64164.5,158918.0,17355.864999999998,1113630399.7924998,40.19678765650689,9.156443657518656,0.00014270264176481786,281682.15499999997,Moderate relative profit,Moderate relative profit/ha
31,Uttarakhand,Haridwar,2014,Zaid,Wheat,1675.81,18.0,85.9,Red,Sprinkler,265.38,44.57,3735.56,6.1,31303.74,198240.0,22786.915999999997,713315693.86584,53.06834852070372,8.699729265689136,0.0002779134143616429,190952.81399999998,Moderate relative profit,Moderate relative profit/ha
32,Uttarakhand,Haridwar,2014,Zaid,Pulses,1594.1,20.5,84.5,Laterite,Drip,252.85,41.68,1698.3,6.29,41383.86,105951.0,10682.306999999999,442075097.36502,62.38650415121003,9.918363140096986,0.00023966742445235862,260304.47939999998,Moderate relative profit,Moderate relative profit/ha
33,Uttarakhand,Haridwar,2014,Zaid,Cotton,1130.94,34.7,51.7,Laterite,Drip,134.07,48.22,3072.64,3.55,35414.66,160960.0,10907.872,386298578.20352,52.384919808373255,14.756315438978383,0.00041667251468681,125722.043,Moderate relative profit,Moderate relative profit/ha
34,Uttarakhand,Haridwar,2014,Kharif,Rice,910.82,31.3,69.1,Black,Tube Well,87.35,57.36,1250.86,3.47,54747.83,41120.0,4340.4842,237632091.099286,32.87338311241866,9.473597438737364,0.00017304060158617,189974.9701,Lower relative profit,Lower relative profit/ha
35,Uttarakhand,Haridwar,2014,Kharif,Rice,1219.75,35.7,66.7,Laterite,Drip,337.34,26.12,2058.3,2.28,48443.99,79435.0,4692.924,227343963.32676,38.592527814215615,16.926547286936675,0.0003494044831347846,110452.29719999999,Moderate relative profit,Moderate relative profit/ha
36,Uttarakhand,Haridwar,2014,Zaid,Maize,1847.4,31.9,60.6,Sandy,Rain-fed,272.96,55.46,694.66,2.17,36626.09,20066.0,1507.4122,55210614.90429799,28.886073762704058,13.311554729356708,0.0003634446027232694,79478.61529999999,Lower relative profit,Lower relative profit/ha
37,Uttarakhand,Nainital,2014,Kharif,Millets,1502.77,32.4,62.8,Red,Sprinkler,382.23,35.13,4496.32,6.63,37157.75,315751.0,29810.601599999998,1107694881.6023998,70.22431677460679,10.591902982595293,0.0002850523237439106,246355.88249999998,Higher relative profit,Moderate relative profit/ha
38,Uttarakhand,Nainital,2014,Zaid,Millets,1528.15,23.5,39.3,Black,Drip,164.29,19.94,1666.58,5.14,19333.83,88340.0,8566.2212,165617864.42319602,53.006756351330274,10.31259851193196,0.0005333965650847224,99375.88620000001,Moderate relative profit,Moderate relative profit/ha
39,Uttarakhand,Nainital,2014,Zaid,Rice,1146.76,24.6,60.6,Laterite,Tube Well,74.91,50.81,2008.44,6.82,62141.29,112256.0,13697.560800000001,851184097.965432,55.89213518950031,8.195327740395939,0.00013188216305770188,423803.5978,Moderate relative profit,Moderate relative profit/ha
40,Uttarakhand,Nainital,2014,Rabi,Wheat,2096.93,24.0,56.4,Black,Rain-fed,406.66,50.97,2737.28,6.56,54393.01,304868.0,17956.5568,976711173.587968,111.3762567220014,16.97808791493924,0.00031213731166815806,356818.1456,Higher relative profit,Higher relative profit/ha
41,Uttarakhand,Nainital,2014,Rabi,Barley,1274.16,25.8,71.8,Sandy,Sprinkler,369.26,44.83,4218.48,7.91,63978.26,445173.0,33368.176799999994,2134837891.0363677,105.52924276042556,13.341244343922323,0.000208527777153088,506068.0366,Higher relative profit,Higher relative profit/ha
42,Uttarakhand,Nainital,2014,Rabi,Wheat,551.11,26.6,82.7,Laterite,Rain-fed,122.69,19.31,1704.03,4.52,29887.53,129369.0,7702.2155999999995,230200199.81146798,75.91943803806271,16.79633584912892,0.0005619847424370271,135091.63559999998,Moderate relative profit,Moderate relative profit/ha
43,Uttarakhand,Nainital,2014,Kharif,Rice,1246.55,33.0,37.9,Black,Canal,430.77,17.33,436.23,8.19,14133.68,29690.0,3572.7237,50495733.504216,68.0604268390528,8.310186427234774,0.0005879704668023312,115754.8392,Lower relative profit,Moderate relative profit/ha
44,Uttarakhand,Nainital,2014,Zaid,Maize,829.38,27.5,41.3,Alluvial,Drip,429.1,30.58,1355.59,3.89,44112.31,93006.0,5273.2451,232615022.557181,68.60924025700987,17.637336826994822,0.0003998280032715318,171596.88590000002,Moderate relative profit,Moderate relative profit/ha
45,Uttarakhand,Nainital,2014,Zaid,Cotton,594.58,18.5,52.2,Black,Canal,320.94,57.7,2043.61,6.42,16027.81,195568.0,13119.9762,210284485.738122,95.69731993873587,14.906124601049202,0.0009300163029789597,102898.5402,Moderate relative profit,Higher relative profit/ha
46,Uttarakhand,Nainital,2014,Rabi,Cotton,1930.53,30.0,41.7,Alluvial,Tube Well,443.54,48.04,1801.3,4.33,31640.26,101860.0,7799.629,246782289.46354,56.548048631543885,13.059595526915446,0.0004127524719112753,137002.3258,Moderate relative profit,Moderate relative profit/ha
47,Uttarakhand,Nainital,2014,Zaid,Millets,589.97,37.2,70.0,Laterite,Tube Well,381.48,43.9,2233.89,6.56,63170.11,156813.0,14654.318399999998,925714905.3030239,70.19727918563582,10.700804753907901,0.00016939664588058972,414395.9216,Moderate relative profit,Moderate relative profit/ha
48,Uttarakhand,Nainital,2014,Zaid,Barley,1886.32,29.8,52.7,Laterite,Rain-fed,148.2,56.4,1466.75,4.49,51775.24,90214.0,6585.7075,340976586.3823,61.5060507925686,13.698452292331536,0.0002645753509270365,232470.82760000002,Moderate relative profit,Moderate relative profit/ha
49,Uttarakhand,Nainital,2014,Zaid,Wheat,1289.75,24.5,61.8,Black,Canal,191.93,19.21,1470.33,5.55,58645.69,110637.0,8160.331499999999,478568271.446235,75.24637326314502,13.557905092458562,0.00023118331615603057,325483.5795,Moderate relative profit,Moderate relative profit/ha
50,Uttarakhand,Nainital,2014,Zaid,Sugarcane,1696.13,27.8,76.7,Black,Rain-fed,326.24,40.52,2505.02,6.99,16931.83,178882.0,17510.0898,296477863.7783341,71.40940990491094,10.215938469944339,0.0006033570187005384,118353.49170000003,Moderate relative profit,Moderate relative profit/ha
51,Uttarakhand,Nainital,2014,Kharif,Pulses,1251.87,28.6,58.4,Red,Canal,348.37,23.19,3543.99,3.18,25324.39,103757.0,11269.8882,285403044.033198,29.276888478804963,9.206568704026719,0.00036354552682322134,80531.5602,Moderate relative profit,Lower relative profit/ha
52,Uttarakhand,Nainital,2014,Rabi,Maize,744.77,32.8,50.2,Black,Rain-fed,285.83,46.81,3024.27,8.36,56129.3,277163.0,25282.8972,1419111321.80796,91.64624851617084,10.962469918202254,0.00019530744046696206,469240.94800000003,Higher relative profit,Higher relative profit/ha
53,Uttarakhand,Nainital,2014,Kharif,Wheat,1674.43,20.5,37.5,Sandy,Rain-fed,71.81,21.07,4726.04,5.86,51897.99,249968.0,27694.5944,1437293783.225256,52.891638665775154,9.02587690542238,0.00017391573171566724,304122.2214,Higher relative profit,Moderate relative profit/ha
54,Uttarakhand,Nainital,2014,Zaid,Millets,1261.69,24.8,88.1,Alluvial,Drip,150.99,52.39,659.03,1.68,38062.57,15246.0,1107.1704,42141750.851927996,23.13399996965237,13.770238077174028,0.0003617789885752336,63945.1176,Lower relative profit,Lower relative profit/ha
55,Uttarakhand,Almora,2014,Rabi,Maize,1860.06,37.0,39.7,Laterite,Tube Well,149.28,35.69,2139.25,5.55,44776.17,187080.0,11872.8375,531620190.282375,87.45120953605236,15.756974691180606,0.0003519053704499649,248507.74349999998,Moderate relative profit,Higher relative profit/ha
56,Uttarakhand,Almora,2014,Zaid,Cotton,1948.3,37.8,51.8,Alluvial,Drip,298.41,38.53,3726.44,8.12,23012.76,305923.0,30258.692799999997,696336035.3201278,82.09524371786478,10.110251689392214,0.000439332426418744,186863.61119999996,Higher relative profit,Moderate relative profit/ha
57,Uttarakhand,Almora,2014,Rabi,Sugarcane,712.86,19.5,35.1,Alluvial,Drip,230.2,37.66,1527.17,2.89,49468.66,66335.0,4413.5213,218330984.59245804,43.43655257764361,15.029948988804017,0.000303827695935245,142964.42740000002,Moderate relative profit,Moderate relative profit/ha
58,Uttarakhand,Almora,2014,Kharif,Cotton,1818.09,30.5,71.4,Alluvial,Drip,423.47,28.38,2768.36,5.93,60145.81,267034.0,16416.3748,987376159.609588,96.45927552774927,16.26631965054794,0.00027044809356708204,356664.6533,Higher relative profit,Higher relative profit/ha
59,Uttarakhand,Almora,2014,Rabi,Cotton,1471.08,34.5,85.7,Alluvial,Sprinkler,225.66,30.78,1590.05,4.14,26429.05,88208.0,6582.806999999999,173977335.34334996,55.47498506336279,13.399754846222898,0.0005070085699721669,109416.26699999998,Moderate relative profit,Moderate relative profit/ha
60,Uttarakhand,Almora,2014,Zaid,Wheat,2000.96,32.7,68.2,Red,Sprinkler,60.35,17.59,3404.06,7.48,43117.52,208981.0,25462.3688,1097874195.981376,61.391691098276766,8.207445333994219,0.00019035058913393488,322519.04959999997,Moderate relative profit,Moderate relative profit/ha
61,Uttarakhand,Almora,2014,Rabi,Wheat,1773.6,21.5,63.5,Red,Tube Well,226.89,20.3,4985.03,4.38,55154.98,386263.0,21834.431399999998,1204277627.178372,77.48458885904398,17.690545401608215,0.0003207424860204503,241578.8124,Higher relative profit,Moderate relative profit/ha
62,Uttarakhand,Almora,2014,Kharif,Pulses,977.9,20.1,43.8,Red,Rain-fed,214.66,32.25,3346.66,4.12,52306.49,115366.0,13788.2392,721214395.832408,34.47198101988251,8.366985684437502,0.0001599607560063293,215502.7388,Moderate relative profit,Lower relative profit/ha
63,Uttarakhand,Almora,2014,Zaid,Pulses,608.66,33.5,82.6,Laterite,Tube Well,379.97,5.06,4359.9,4.57,14872.82,262696.0,19924.743,296337116.18526,60.2527580907819,13.184410960783786,0.000886476872629655,67968.7874,Higher relative profit,Moderate relative profit/ha
64,Uttarakhand,Almora,2014,Kharif,Wheat,766.4,29.0,86.0,Red,Sprinkler,225.25,43.4,694.99,8.3,44270.2,59951.0,5768.417,255368974.2734,86.26167282982489,10.392972630099383,0.0002347622696554202,367442.66000000003,Lower relative profit,Higher relative profit/ha
65,Uttarakhand,Almora,2014,Zaid,Wheat,1394.05,19.9,89.6,Red,Tube Well,415.17,30.38,675.58,7.27,38413.9,74487.0,4911.4666,188668586.82574,110.256372302318,15.165938418475655,0.0003948034023745481,279269.053,Moderate relative profit,Higher relative profit/ha
66,Uttarakhand,Almora,2014,Rabi,Millets,2164.44,22.9,65.3,Red,Sprinkler,203.43,55.7,2590.38,7.62,57793.43,212437.0,19738.695600000003,1140766922.4499083,82.00997537040897,10.762463959371255,0.00018622296616364965,440385.9366000001,Moderate relative profit,Moderate relative profit/ha
67,Uttarakhand,Almora,2014,Zaid,Cotton,1876.99,23.7,51.4,Sandy,Tube Well,284.78,59.94,2499.24,2.28,40544.77,65252.0,5698.267199999999,231034933.02254397,26.108737056065046,11.451200463186424,0.000282433479415136,92442.0756,Moderate relative profit,Lower relative profit/ha
68,Uttarakhand,Almora,2014,Rabi,Millets,2079.13,35.4,88.9,Laterite,Drip,145.52,26.06,4294.46,4.2,28863.35,229603.00000000003,18036.732,520600508.5722,53.46492923440899,12.729745055811664,0.0004410349129886747,121226.06999999999,Higher relative profit,Moderate relative profit/ha
69,Uttarakhand,Almora,2014,Kharif,Millets,2136.68,20.5,88.1,Laterite,Drip,182.8,10.52,4240.69,1.93,60253.41,66732.0,8184.531699999999,493145944.17809695,15.73611841469195,8.153429230410337,0.00013531896751420934,116289.0813,Moderate relative profit,Lower relative profit/ha
70,Uttarakhand,Almora,2014,Rabi,Rice,1245.08,37.4,53.6,Laterite,Sprinkler,327.08,40.74,4273.65,7.42,57545.14,374187.0,31710.482999999997,1824784183.7026198,87.55677231406409,11.800104085453382,0.0002050582218664058,426984.9388,Higher relative profit,Higher relative profit/ha
71,Uttarakhand,Almora,2014,Kharif,Wheat,1511.43,22.7,72.6,Laterite,Drip,164.95,17.51,542.86,8.34,52299.59,68088.0,4527.4524,236783904.264516,125.42460302840512,15.03892122642747,0.00028755332931725604,436178.5806,Moderate relative profit,Higher relative profit/ha
72,Uttarakhand,Almora,2014,Kharif,Cotton,2026.16,18.9,78.8,Black,Canal,167.35,25.62,813.29,5.08,41994.19,65795.0,4131.5132,173499550.30830804,80.89980203863321,15.92515788162071,0.00037922288491862104,213330.48520000005,Moderate relative profit,Moderate relative profit/ha
73,Uttarakhand,Pauri,2014,Rabi,Barley,1515.48,22.8,85.2,Sandy,Drip,107.25,30.36,1344.49,3.06,12498.06,66017.0,4114.1394,51418761.069564,49.10188993596085,16.046369260117924,0.0012839088034557302,38244.0636,Moderate relative profit,Moderate relative profit/ha
74,Uttarakhand,Pauri,2014,Rabi,Rice,1195.11,24.9,67.3,Alluvial,Drip,305.58,28.34,1325.48,7.37,22558.5,115730.0,9768.7876,220369195.07459998,87.31176630352778,11.846915373612996,0.0005251641453825829,166256.145,Moderate relative profit,Higher relative profit/ha
75,Uttarakhand,Pauri,2014,Zaid,Barley,1429.46,29.5,89.6,Alluvial,Sprinkler,168.09,58.79,3325.33,3.2,41994.24,158105.0,10641.056,446863059.51744,47.54565712275173,14.858017850859914,0.00035381085241356706,134381.568,Moderate relative profit,Moderate relative profit/ha
76,Uttarakhand,Pauri,2014,Zaid,Millets,1899.11,36.1,77.7,Black,Canal,142.05,49.11,1173.12,2.59,25283.22,47264.0,3038.3807999999995,76820050.21017599,40.289143480632845,15.555653853526197,0.0006152560414981238,65483.5398,Lower relative profit,Moderate relative profit/ha
77,Uttarakhand,Pauri,2014,Zaid,Wheat,956.08,26.8,66.9,Red,Sprinkler,342.94,9.96,1546.04,6.66,21308.92,95981.0,10296.6264,219409988.22748795,62.08183488137435,9.321596829035188,0.0004374504587297334,141917.40719999996,Moderate relative profit,Moderate relative profit/ha
78,Uttarakhand,Pauri,2014,Kharif,Cotton,1894.85,23.1,80.4,Black,Tube Well,242.74,49.36,3758.14,3.67,18103.99,243145.0,13792.3738,249696997.351462,64.69822837893213,17.628945062379326,0.0009737602076878814,66441.64330000001,Higher relative profit,Moderate relative profit/ha
79,Uttarakhand,Pauri,2014,Rabi,Pulses,562.55,25.9,49.5,Alluvial,Drip,99.44,25.27,3770.16,3.11,32194.35,168673.0,11725.1976,377485115.35356,44.73895007108452,14.385514492310135,0.0004468335124737768,100124.4285,Moderate relative profit,Moderate relative profit/ha
80,Uttarakhand,Pauri,2014,Rabi,Millets,445.04,35.7,65.9,Alluvial,Drip,416.1,17.18,409.76,7.21,60197.54,32563.0,2954.3696,177845782.170784,79.46846934791097,11.021979105119414,0.00018309683593581088,434024.2634,Lower relative profit,Moderate relative profit/ha
81,Uttarakhand,Pauri,2014,Zaid,Wheat,2103.27,24.1,62.1,Laterite,Sprinkler,88.88,53.8,764.75,4.51,47535.77,53223.0,3449.0225,163951940.284825,69.59529257927427,15.431328731546401,0.00032462561838267063,214386.3227,Lower relative profit,Moderate relative profit/ha
82,Uttarakhand,Pauri,2014,Kharif,Maize,1993.74,31.1,80.9,Red,Canal,296.26,56.65,1470.73,6.24,23515.29,114230.0,9177.3552,215808168.961008,77.66891271681409,12.44694114051508,0.0005293126787088349,146735.4096,Moderate relative profit,Moderate relative profit/ha
83,Uttarakhand,Pauri,2014,Zaid,Pulses,1380.04,37.6,54.7,Sandy,Canal,209.26,15.44,698.58,7.39,36100.02,75516.0,5162.5062,186366577.07012397,108.09928712531133,14.627779042667301,0.00040520141104263385,266779.1477999999,Moderate relative profit,Higher relative profit/ha
84,Uttarakhand,Pauri,2014,Rabi,Wheat,1816.23,22.9,41.9,Black,Sprinkler,275.83,8.77,3849.27,2.71,23445.42,174175.0,10431.5217,244571407.49561396,45.248839390325955,16.696988704917327,0.0007121641968843949,63537.08819999999,Moderate relative profit,Moderate relative profit/ha
85,Uttarakhand,Pauri,2014,Kharif,Wheat,899.09,37.7,89.3,Sandy,Rain-fed,266.09,48.92,638.64,7.53,18985.57,55699.0,4808.9592,91300831.518744,87.21501941625955,11.582339895917602,0.0006100601612655086,142961.3421,Lower relative profit,Higher relative profit/ha
86,Uttarakhand,Pauri,2014,Zaid,Wheat,713.64,19.0,75.8,Black,Sprinkler,260.43,46.01,2433.61,6.88,39201.61,152205.0,16743.236800000002,656361839.1712481,62.542888959200525,9.090536185930308,0.0002318919091825644,269707.07680000004,Moderate relative profit,Moderate relative profit/ha
87,Uttarakhand,Pauri,2014,Kharif,Wheat,1709.04,36.2,71.2,Laterite,Tube Well,170.65,40.38,252.64,8.49,56906.82,26303.0,2144.9136,122060212.150752,104.11257124762508,12.262964811263261,0.00021549200625273492,483138.9018,Lower relative profit,Higher relative profit/ha
88,Uttarakhand,Pauri,2014,Rabi,Rice,2018.68,24.4,43.2,Laterite,Sprinkler,100.48,39.34,2968.29,6.4,32187.93,265463.0,18997.056,611475908.7340801,89.43297319332007,13.97390206145626,0.0004341348468651528,206002.75200000004,Higher relative profit,Higher relative profit/ha
89,Uttarakhand,Pauri,2014,Rabi,Barley,578.52,32.0,81.9,Laterite,Tube Well,310.37,47.29,3632.12,2.77,35932.41,103476.0,10060.9724,361514985.2754841,28.489146834355694,10.284890553919022,0.0002862287988453605,99532.77570000003,Moderate relative profit,Lower relative profit/ha
90,Uttarakhand,Pauri,2014,Rabi,Barley,1713.3,24.3,52.2,Alluvial,Rain-fed,151.96,57.45,3465.42,4.66,16834.91,142976.0,16148.8572,271864557.564852,41.257913903653815,8.853629593058757,0.0005259089352457933,78450.68059999999,Moderate relative profit,Moderate relative profit/ha
91,Uttar Pradesh,Lucknow,2014,Zaid,Maize,1401.47,29.7,65.9,Alluvial,Rain-fed,181.86,11.72,1832.63,6.06,51765.07,185254.0,11105.7378,574889294.618646,101.08641678898631,16.68092686286903,0.00032224291134676393,313696.3242,Moderate relative profit,Higher relative profit/ha
92,Uttar Pradesh,Lucknow,2014,Zaid,Cotton,1032.96,29.6,46.7,Black,Tube Well,312.69,17.33,630.27,7.37,31480.74,72584.0,4645.0899,146230867.418526,115.16334269440081,15.625962373731454,0.0004963657898045425,232013.0538,Moderate relative profit,Higher relative profit/ha
93,Uttar Pradesh,Lucknow,2014,Kharif,Wheat,1496.19,31.2,73.1,Sandy,Tube Well,61.58,20.03,3835.81,7.93,30604.24,298524.0,30417.973299999998,930918955.186792,77.82554401808223,9.814066080464343,0.00032067668010917253,242691.6232,Higher relative profit,Moderate relative profit/ha
