Record_ID,State,District,Year,Season,Crop_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Cultivated_Area_hectares,Yield_ton_per_hectare,Market_Price_per_ton,Farmer_Profit_INR,Rainfall_Condition,Temperature_Condition,Humidity_Condition,Climate_Extreme_Flag,Climate_Stress_Score,Climate_Stress_Level
69,Uttarakhand,Almora,2014,Kharif,Millets,2136.68,20.5,88.1,Laterite,Drip,182.8,10.52,4240.69,1.93,60253.41,66732.0,Higher relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
72,Uttarakhand,Almora,2014,Kharif,Cotton,2026.16,18.9,78.8,Black,Canal,167.35,25.62,813.29,5.08,41994.19,65795.0,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
85,Uttarakhand,Pauri,2014,Kharif,Wheat,899.09,37.7,89.3,Sandy,Rain-fed,266.09,48.92,638.64,7.53,18985.57,55699.0,Moderate relative rainfall,Higher relative temperature,Higher relative humidity,True,2,High relative climate deviation
98,Uttar Pradesh,Lucknow,2014,Rabi,Barley,433.73,36.4,82.4,Black,Sprinkler,280.3,36.54,3576.54,4.25,18104.19,124773.0,Lower relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
99,Uttar Pradesh,Lucknow,2014,Rabi,Millets,1897.65,36.4,39.8,Black,Rain-fed,387.79,18.38,2985.47,5.02,32975.63,166398.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
103,Uttar Pradesh,Lucknow,2014,Zaid,Wheat,502.4,34.6,39.2,Alluvial,Tube Well,395.7,52.04,3113.54,4.9,36523.72,206619.0,Lower relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
124,Uttar Pradesh,Kanpur,2014,Rabi,Barley,2109.04,18.6,43.4,Red,Drip,229.97,25.4,2275.3,1.76,19297.84,46731.0,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
129,Uttar Pradesh,Varanasi,2014,Zaid,Barley,1882.01,19.5,88.5,Sandy,Drip,306.94,29.75,3432.53,3.71,58531.89,201242.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
130,Uttar Pradesh,Varanasi,2014,Zaid,Maize,1178.71,36.2,38.0,Red,Canal,99.66,13.42,906.82,3.56,49594.6,36997.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
138,Uttar Pradesh,Varanasi,2014,Zaid,Pulses,481.44,19.0,65.9,Sandy,Canal,195.01,20.87,1993.11,4.49,41142.43,145450.0,Lower relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
150,Uttar Pradesh,Agra,2014,Rabi,Maize,2081.06,18.7,81.0,Sandy,Sprinkler,365.18,15.25,3770.12,7.57,27341.75,239011.0,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
162,Uttar Pradesh,Agra,2014,Kharif,Sugarcane,770.95,20.0,36.8,Alluvial,Drip,289.11,43.68,338.51,6.61,33320.06,23144.0,Moderate relative rainfall,Lower relative temperature,Lower relative humidity,True,2,High relative climate deviation
168,Uttar Pradesh,Meerut,2014,Zaid,Sugarcane,2086.89,37.2,41.5,Red,Rain-fed,449.83,31.34,1288.71,5.61,22839.2,123998.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
182,Punjab,Ludhiana,2014,Zaid,Pulses,1049.26,19.8,86.9,Laterite,Canal,227.89,46.87,600.93,1.84,34841.91,15004.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
204,Punjab,Amritsar,2014,Zaid,Cotton,2114.32,28.3,84.5,Black,Drip,376.07,12.46,3775.46,4.2,15142.15,170830.0,Higher relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
209,Punjab,Amritsar,2014,Rabi,Cotton,568.01,25.2,39.5,Alluvial,Canal,315.8,40.69,353.76,5.77,50477.38,31745.0,Lower relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
215,Punjab,Amritsar,2014,Kharif,Wheat,2176.39,36.7,42.3,Alluvial,Sprinkler,394.33,36.26,1890.52,6.19,52424.47,205312.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
216,Punjab,Amritsar,2014,Rabi,Rice,424.83,22.3,85.7,Alluvial,Sprinkler,429.47,26.89,1503.79,6.4,52656.83,117760.0,Lower relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
222,Punjab,Patiala,2014,Rabi,Maize,722.13,37.2,36.9,Red,Canal,371.25,44.27,3312.95,2.84,25157.95,161441.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
227,Punjab,Patiala,2014,Kharif,Millets,2154.2,19.7,40.3,Red,Rain-fed,103.41,50.1,466.67,5.35,35054.09,44047.0,Higher relative rainfall,Lower relative temperature,Lower relative humidity,True,3,High relative climate deviation
233,Punjab,Patiala,2014,Rabi,Millets,491.15,36.5,58.8,Red,Tube Well,339.77,32.29,1975.37,4.31,30758.99,145442.0,Lower relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
239,Punjab,Jalandhar,2014,Rabi,Rice,501.1,30.0,36.1,Alluvial,Canal,241.2,23.25,3109.26,7.09,30060.23,215478.00000000003,Lower relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
243,Punjab,Jalandhar,2014,Kharif,Pulses,2057.87,37.4,47.1,Alluvial,Rain-fed,276.22,56.52,789.15,6.64,24613.78,93396.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
257,Punjab,Bathinda,2014,Kharif,Millets,2057.5,35.9,36.1,Black,Rain-fed,376.95,21.67,1473.7,4.79,48897.69,63404.99999999999,Higher relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
264,Punjab,Bathinda,2014,Rabi,Barley,1452.08,18.1,90.0,Alluvial,Rain-fed,436.59,51.17,2851.14,5.53,26981.87,234045.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
273,Maharashtra,Pune,2014,Rabi,Maize,517.52,18.9,87.2,Red,Drip,232.37,33.62,2668.18,4.37,48399.35,108879.0,Lower relative rainfall,Lower relative temperature,Higher relative humidity,True,3,High relative climate deviation
274,Maharashtra,Pune,2014,Rabi,Maize,2106.55,36.4,57.2,Alluvial,Tube Well,141.37,44.99,742.91,6.56,43253.72,47223.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
280,Maharashtra,Pune,2014,Zaid,Rice,571.0,33.2,37.5,Alluvial,Rain-fed,390.8,41.48,935.51,3.81,35198.87,50677.0,Lower relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
282,Maharashtra,Pune,2014,Zaid,Maize,586.68,36.2,61.5,Black,Tube Well,277.58,29.1,3095.48,6.89,44402.0,354592.0,Lower relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
291,Maharashtra,Nashik,2014,Zaid,Wheat,1354.66,19.0,86.4,Black,Canal,385.53,31.56,2590.83,7.92,21391.73,282871.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
306,Maharashtra,Nashik,2014,Rabi,Maize,442.76,32.3,37.1,Laterite,Tube Well,79.3,14.79,1334.35,1.71,55545.82,39040.0,Lower relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
312,Maharashtra,Nagpur,2014,Zaid,Rice,923.17,19.3,40.4,Alluvial,Drip,340.24,31.8,1721.17,2.14,46740.07,33151.0,Moderate relative rainfall,Lower relative temperature,Lower relative humidity,True,2,High relative climate deviation
332,Maharashtra,Aurangabad,2014,Kharif,Wheat,689.33,37.3,35.3,Sandy,Canal,86.44,12.99,4636.72,4.38,15396.26,207510.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
351,Maharashtra,Kolhapur,2014,Zaid,Maize,1114.68,19.9,86.5,Black,Canal,239.27,7.96,3877.58,5.03,64788.73,176304.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
364,Karnataka,Bengaluru,2014,Zaid,Pulses,2075.53,37.9,69.4,Red,Tube Well,73.91,40.45,3536.51,6.98,18668.86,254914.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
393,Karnataka,Mysuru,2014,Rabi,Maize,447.16,37.7,68.9,Black,Sprinkler,292.24,38.68,3022.17,2.89,13382.48,76814.0,Lower relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
395,Karnataka,Mysuru,2014,Rabi,Sugarcane,1764.0,19.3,86.0,Alluvial,Sprinkler,444.25,52.69,2500.72,3.57,36249.88,93452.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
397,Karnataka,Hubli,2014,Rabi,Barley,2170.9,18.8,56.3,Laterite,Drip,356.06,57.94,1030.27,4.41,58873.07,71500.0,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
402,Karnataka,Hubli,2014,Rabi,Rice,2017.38,37.2,35.2,Black,Drip,356.16,5.67,2538.38,4.84,54795.09,172982.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
433,Karnataka,Mangalore,2014,Zaid,Millets,2131.13,19.6,75.2,Alluvial,Drip,260.56,52.26,3777.85,3.24,39398.33,161982.0,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
441,Karnataka,Mangalore,2014,Zaid,Pulses,2121.13,26.6,85.5,Black,Sprinkler,393.34,23.42,1408.73,1.92,46680.19,32218.0,Higher relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
446,Karnataka,Mangalore,2014,Kharif,Millets,524.92,37.6,46.0,Laterite,Rain-fed,207.05,40.5,631.31,5.15,34856.44,45972.0,Lower relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
447,Karnataka,Mangalore,2014,Rabi,Rice,462.75,19.4,75.0,Red,Drip,360.89,6.03,2538.74,5.97,12045.99,126985.0,Lower relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
452,Tamil Nadu,Chennai,2014,Zaid,Millets,2139.83,18.3,53.7,Sandy,Drip,185.09,44.66,2086.99,2.75,46654.05,75937.0,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
453,Tamil Nadu,Chennai,2014,Kharif,Sugarcane,2064.67,18.7,42.8,Alluvial,Rain-fed,311.53,30.92,4598.29,1.53,49168.73,65466.99999999999,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
457,Tamil Nadu,Chennai,2014,Kharif,Wheat,413.0,36.5,73.9,Red,Sprinkler,287.49,20.61,3498.17,6.98,37228.66,226321.0,Lower relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
459,Tamil Nadu,Chennai,2014,Kharif,Sugarcane,745.43,37.7,88.7,Red,Canal,297.57,52.45,4935.23,4.91,36603.45,345661.0,Moderate relative rainfall,Higher relative temperature,Higher relative humidity,True,2,High relative climate deviation
497,Tamil Nadu,Madurai,2014,Kharif,Wheat,2152.44,20.0,46.8,Red,Tube Well,251.68,43.93,1895.67,5.5,35302.29,183266.0,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
500,Tamil Nadu,Madurai,2014,Rabi,Millets,2090.35,25.3,35.7,Laterite,Sprinkler,319.66,41.97,2042.21,5.02,47855.49,94237.0,Higher relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
504,Tamil Nadu,Madurai,2014,Rabi,Cotton,1519.54,19.9,39.2,Sandy,Rain-fed,350.64,47.22,3984.38,2.67,47090.94,137261.0,Moderate relative rainfall,Lower relative temperature,Lower relative humidity,True,2,High relative climate deviation
505,Tamil Nadu,Salem,2014,Zaid,Wheat,2114.64,18.6,58.7,Red,Drip,415.98,26.1,1641.34,3.95,36361.78,53997.0,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
528,Tamil Nadu,Tiruchirappalli,2014,Rabi,Wheat,2106.6,36.5,70.6,Sandy,Tube Well,300.65,54.88,4873.23,2.65,49166.84,125106.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
540,Tamil Nadu,Tiruchirappalli,2014,Kharif,Pulses,2145.59,31.1,87.3,Red,Rain-fed,179.97,45.23,3698.17,8.19,42165.4,306323.0,Higher relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
553,Rajasthan,Jaipur,2014,Zaid,Millets,817.43,19.2,36.0,Red,Tube Well,280.56,35.43,1412.46,5.93,59124.45,76802.0,Moderate relative rainfall,Lower relative temperature,Lower relative humidity,True,2,High relative climate deviation
562,Rajasthan,Jodhpur,2014,Zaid,Barley,2052.44,36.0,87.4,Alluvial,Canal,256.46,42.52,4724.33,4.43,52818.05,317621.0,Higher relative rainfall,Higher relative temperature,Higher relative humidity,True,3,High relative climate deviation
584,Rajasthan,Udaipur,2014,Rabi,Barley,2130.43,29.1,37.3,Red,Sprinkler,375.06,57.86,3141.58,5.97,20871.23,161328.0,Higher relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
592,Rajasthan,Udaipur,2014,Zaid,Maize,517.65,20.6,38.6,Alluvial,Sprinkler,153.85,36.34,1217.03,5.02,53459.39,60597.0,Lower relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
615,Rajasthan,Ajmer,2014,Zaid,Rice,1814.57,36.5,40.4,Red,Drip,78.54,7.11,1081.5,2.64,29449.79,31484.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
617,Rajasthan,Ajmer,2014,Zaid,Millets,1577.36,37.8,87.3,Laterite,Tube Well,396.19,17.52,3644.35,2.73,24387.33,137994.0,Moderate relative rainfall,Higher relative temperature,Higher relative humidity,True,2,High relative climate deviation
620,Rajasthan,Ajmer,2014,Kharif,Wheat,2059.86,21.1,87.4,Laterite,Canal,182.1,39.64,3054.71,5.64,57948.07,306698.0,Higher relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
622,Rajasthan,Ajmer,2014,Kharif,Wheat,736.05,19.4,88.0,Red,Tube Well,163.53,17.82,3331.89,1.71,15045.02,75124.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
633,West Bengal,Kolkata,2014,Rabi,Sugarcane,1623.93,19.3,87.7,Red,Sprinkler,88.64,50.95,3354.13,6.49,14332.66,285709.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
640,West Bengal,Kolkata,2014,Kharif,Sugarcane,770.47,19.1,85.5,Laterite,Canal,445.35,49.08,3511.76,2.82,58253.41,130868.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
653,West Bengal,Howrah,2014,Kharif,Cotton,554.27,20.5,38.5,Sandy,Canal,61.87,17.91,2477.45,6.75,12503.85,178278.0,Lower relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
657,West Bengal,Howrah,2014,Kharif,Pulses,429.93,25.2,37.5,Red,Tube Well,373.02,22.9,2277.1,5.63,33208.76,181095.0,Lower relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
658,West Bengal,Howrah,2014,Zaid,Millets,2176.37,35.1,84.8,Sandy,Canal,343.71,21.16,1055.88,2.25,39562.88,32592.0,Higher relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
663,West Bengal,Howrah,2014,Kharif,Rice,560.45,32.8,86.5,Red,Canal,347.85,11.39,1901.91,7.43,62565.64,194575.0,Lower relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
671,West Bengal,Darjeeling,2014,Rabi,Wheat,572.89,37.5,44.9,Black,Canal,70.99,58.92,3285.48,5.53,63395.53,259262.0,Lower relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
677,West Bengal,Darjeeling,2014,Zaid,Maize,1161.49,36.9,35.0,Laterite,Rain-fed,170.24,57.04,2645.27,6.91,46935.35,227557.00000000003,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
680,West Bengal,Darjeeling,2014,Rabi,Sugarcane,527.0,32.7,89.7,Black,Rain-fed,328.72,15.59,1923.5,6.0,55486.94,162145.0,Lower relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
682,West Bengal,Darjeeling,2014,Zaid,Sugarcane,892.56,20.0,88.9,Laterite,Canal,138.89,57.35,3935.39,2.1,39903.21,138470.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
691,West Bengal,Siliguri,2014,Rabi,Millets,503.49,18.1,60.3,Laterite,Drip,169.34,10.89,1813.64,6.47,33309.61,94914.0,Lower relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
703,West Bengal,Malda,2014,Kharif,Millets,2065.9,19.5,65.1,Laterite,Sprinkler,187.16,44.89,4949.26,2.67,50200.78,111506.0,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
713,West Bengal,Malda,2014,Zaid,Sugarcane,525.02,19.4,48.5,Alluvial,Tube Well,413.65,58.37,591.15,5.05,50518.53,48004.0,Lower relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
716,West Bengal,Malda,2014,Rabi,Rice,438.17,18.9,65.0,Black,Rain-fed,91.03,53.76,2134.89,1.21,23888.58,26521.0,Lower relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
718,West Bengal,Malda,2014,Kharif,Pulses,613.03,36.5,85.6,Red,Sprinkler,408.23,38.25,972.53,5.07,43779.41,72947.0,Moderate relative rainfall,Higher relative temperature,Higher relative humidity,True,2,High relative climate deviation
723,Uttarakhand,Dehradun,2015,Kharif,Sugarcane,2189.03,18.3,65.7,Red,Tube Well,433.05,55.65,391.93,3.75,56983.83,24497.0,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
735,Uttarakhand,Dehradun,2015,Rabi,Maize,1420.42,37.9,40.4,Alluvial,Tube Well,55.98,47.15,1616.76,7.53,54261.3,206369.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
740,Uttarakhand,Haridwar,2015,Zaid,Maize,1717.2,36.3,85.7,Laterite,Canal,357.29,15.97,1710.73,3.52,64811.23,77458.0,Moderate relative rainfall,Higher relative temperature,Higher relative humidity,True,2,High relative climate deviation
742,Uttarakhand,Haridwar,2015,Rabi,Sugarcane,497.34,35.4,87.4,Laterite,Tube Well,323.47,19.84,3214.87,1.81,15670.73,70122.0,Lower relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
744,Uttarakhand,Haridwar,2015,Zaid,Maize,2138.06,26.7,85.2,Sandy,Drip,278.13,50.27,2848.45,7.72,22523.68,334847.0,Higher relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
761,Uttarakhand,Nainital,2015,Rabi,Cotton,2067.85,21.9,36.6,Black,Drip,59.22,33.15,846.5,7.53,18083.79,64822.0,Higher relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
773,Uttarakhand,Nainital,2015,Rabi,Wheat,599.45,36.9,39.1,Alluvial,Drip,181.73,38.7,4081.18,3.17,21027.95,121322.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
776,Uttarakhand,Almora,2015,Rabi,Millets,508.48,18.3,46.9,Red,Tube Well,377.4,15.34,612.22,2.72,43297.72,22108.0,Lower relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
793,Uttarakhand,Pauri,2015,Zaid,Barley,2140.43,20.0,49.4,Black,Rain-fed,170.81,22.09,2863.15,6.16,29091.43,243067.0,Higher relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
800,Uttarakhand,Pauri,2015,Zaid,Sugarcane,586.49,18.5,62.8,Red,Sprinkler,206.29,55.93,1569.63,4.73,21754.33,76837.0,Lower relative rainfall,Lower relative temperature,Moderate relative humidity,True,2,High relative climate deviation
814,Uttar Pradesh,Lucknow,2015,Zaid,Millets,2086.47,37.7,70.9,Red,Canal,62.91,28.18,1082.51,7.68,15147.77,83489.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
816,Uttar Pradesh,Lucknow,2015,Kharif,Millets,2103.88,23.4,37.3,Alluvial,Canal,64.24,32.92,3286.65,4.35,28081.17,235875.0,Higher relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
824,Uttar Pradesh,Lucknow,2015,Rabi,Barley,940.74,37.3,38.3,Black,Tube Well,391.83,26.12,192.36,3.99,35533.05,7863.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
834,Uttar Pradesh,Kanpur,2015,Zaid,Pulses,480.3,36.6,85.2,Red,Drip,60.21,38.5,4059.37,4.93,53386.31,261803.00000000003,Lower relative rainfall,Higher relative temperature,Higher relative humidity,True,3,High relative climate deviation
859,Uttar Pradesh,Varanasi,2015,Zaid,Wheat,464.93,18.4,86.7,Black,Canal,91.01,26.89,2476.01,2.35,27977.72,59932.00000000001,Lower relative rainfall,Lower relative temperature,Higher relative humidity,True,3,High relative climate deviation
867,Uttar Pradesh,Agra,2015,Kharif,Rice,2058.21,26.5,39.3,Alluvial,Tube Well,100.91,5.75,2647.7,2.09,22460.48,92399.0,Higher relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
870,Uttar Pradesh,Agra,2015,Kharif,Sugarcane,2085.16,36.5,74.6,Laterite,Canal,390.96,12.44,2669.45,7.25,12520.52,235397.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
878,Uttar Pradesh,Agra,2015,Zaid,Maize,2079.75,37.9,45.8,Alluvial,Sprinkler,194.4,15.72,2972.32,3.6,60285.16,183597.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
899,Uttar Pradesh,Meerut,2015,Kharif,Millets,462.69,37.2,58.2,Laterite,Canal,115.42,42.53,4187.74,4.59,16379.94,285647.0,Lower relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
920,Punjab,Amritsar,2015,Rabi,Millets,2181.48,33.9,88.5,Alluvial,Canal,250.09,11.11,3059.63,3.62,60768.26,106247.0,Higher relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
924,Punjab,Amritsar,2015,Rabi,Cotton,574.83,30.8,39.1,Red,Sprinkler,409.68,32.04,1299.17,3.1,27650.48,50128.0,Lower relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
936,Punjab,Amritsar,2015,Rabi,Rice,2159.01,36.9,61.8,Alluvial,Tube Well,177.68,58.59,2405.48,2.39,15474.65,70830.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
940,Punjab,Patiala,2015,Zaid,Barley,1772.85,18.1,86.7,Black,Drip,72.12,27.48,3264.38,2.22,36215.16,77847.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
943,Punjab,Patiala,2015,Zaid,Cotton,2176.47,29.7,38.3,Alluvial,Rain-fed,72.45,23.85,2735.69,4.4,27064.47,153092.0,Higher relative rainfall,Moderate relative temperature,Lower relative humidity,True,2,High relative climate deviation
947,Punjab,Patiala,2015,Zaid,Wheat,1897.01,19.2,89.4,Laterite,Rain-fed,199.39,36.11,4978.71,8.21,58273.29,460692.0,Moderate relative rainfall,Lower relative temperature,Higher relative humidity,True,2,High relative climate deviation
952,Punjab,Patiala,2015,Kharif,Wheat,1360.16,36.9,37.2,Red,Drip,100.93,24.17,439.41,7.56,61208.67,48439.0,Moderate relative rainfall,Higher relative temperature,Lower relative humidity,True,2,High relative climate deviation
953,Punjab,Patiala,2015,Kharif,Barley,2183.81,22.7,85.6,Laterite,Drip,358.94,6.5,4400.42,8.09,18524.84,622282.0,Higher relative rainfall,Moderate relative temperature,Higher relative humidity,True,2,High relative climate deviation
959,Punjab,Jalandhar,2015,Rabi,Maize,2085.32,37.3,75.8,Laterite,Rain-fed,374.13,14.99,4407.48,2.0,20605.81,114379.0,Higher relative rainfall,Higher relative temperature,Moderate relative humidity,True,2,High relative climate deviation
