Record_ID,State,District,Year,Season,Crop_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Cultivated_Area_hectares,Yield_ton_per_hectare,Market_Price_per_ton,Farmer_Profit_INR,Estimated_Production_tons,Yield_per_Fertilizer_kg,Yield_per_Pesticide_kg,Profit_per_hectare_INR,Production_per_hectare,Fertilizer_per_hectare,Pesticide_per_hectare,Fertilizer_Use_Flag,Pesticide_Use_Flag,Analytical_Resource_Risk
11,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,675.11,33.3,64.7,Black,Canal,361.45,34.17,102.8,3.57,13032.27,6346.0,366.996,0.009876884769677687,0.1044776119402985,61.73151750972763,3.57,3.5160505836575875,0.33239299610894946,Higher relative use,Moderate relative use,False
12,Uttarakhand,Dehradun,2014,Zaid,Sugarcane,1980.42,36.9,39.7,Black,Rain-fed,244.4,8.81,3826.95,6.79,18804.75,331382.0,25984.9905,0.027782324058919804,0.7707150964812712,86.59167221939143,6.79,0.06386286729641098,0.002302094357125126,Moderate relative use,Lower relative use,False
13,Uttarakhand,Dehradun,2014,Rabi,Barley,2135.85,36.6,76.5,Alluvial,Drip,325.95,44.21,2055.06,6.1,31791.29,213061.0,12535.865999999998,0.01871452676790919,0.13797783306944128,103.67629168978036,6.1,0.15860850778079472,0.021512753885531324,Moderate relative use,Moderate relative use,False
14,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,515.25,18.4,65.5,Alluvial,Sprinkler,285.38,5.4,3568.42,1.63,15572.22,48359.0,5816.5246,0.005711682668722405,0.3018518518518518,13.551936151013614,1.63,0.07997376990376694,0.0015132747826769272,Moderate relative use,Lower relative use,False
15,Uttarakhand,Dehradun,2014,Kharif,Sugarcane,901.26,27.7,64.7,Alluvial,Tube Well,339.34,53.53,2923.44,2.97,37067.57,104804.0,8682.616800000002,0.008752283845111099,0.055482906781244165,35.849547108885425,2.9700000000000006,0.11607558219084366,0.018310620365049393,Moderate relative use,Higher relative use,False
16,Uttarakhand,Dehradun,2014,Kharif,Pulses,1162.44,27.3,75.1,Black,Drip,319.35,59.13,582.25,4.14,29983.04,40055.0,2410.515,0.012963832785345231,0.0700152207001522,68.79347359381708,4.14,0.5484757406612281,0.10155431515671963,Moderate relative use,Higher relative use,False
17,Uttarakhand,Dehradun,2014,Zaid,Millets,652.33,21.7,60.4,Alluvial,Canal,399.79,9.15,4059.31,7.45,17189.16,439156.00000000006,30241.8595,0.018634783261212137,0.8142076502732241,108.18488856480536,7.45,0.09848718131899264,0.0022540776634452655,Higher relative use,Lower relative use,False
18,Uttarakhand,Dehradun,2014,Rabi,Sugarcane,699.36,27.7,46.8,Red,Tube Well,210.42,8.22,1956.97,8.39,26055.76,260088.0,16418.978300000002,0.03987263568101892,1.0206812652068127,132.90341701712342,8.39,0.10752336520232808,0.004200370981670644,Moderate relative use,Lower relative use,False
19,Uttarakhand,Haridwar,2014,Zaid,Millets,678.63,23.9,88.3,Black,Canal,281.67,34.82,3765.08,1.62,42961.41,79466.0,6099.4296,0.005751411225902652,0.046524985640436535,21.106058835403232,1.62,0.07481115939103553,0.009248143465743092,Moderate relative use,Moderate relative use,False
20,Uttarakhand,Haridwar,2014,Kharif,Rice,1932.42,19.4,38.7,Laterite,Sprinkler,394.73,27.21,4713.82,5.36,42682.71,212170.0,25266.0752,0.013578902034301928,0.1969864020580669,45.01020403833834,5.36,0.08373887844677991,0.005772388423826112,Higher relative use,Moderate relative use,False
21,Uttarakhand,Haridwar,2014,Kharif,Pulses,2082.47,22.1,74.4,Alluvial,Tube Well,145.47,26.77,3391.28,3.39,28757.39,178409.0,11496.4392,0.02330377397401526,0.12663429211804259,52.608159750890515,3.39,0.0428953079663136,0.007893774621971644,Lower relative use,Moderate relative use,False
22,Uttarakhand,Haridwar,2014,Zaid,Rice,531.87,22.3,49.6,Red,Sprinkler,423.3,53.45,4408.42,3.9,20360.58,280887.0,17192.838,0.009213323883770375,0.07296538821328344,63.716025242603926,3.9,0.09602079656657034,0.012124525340144542,Higher relative use,Higher relative use,False
23,Uttarakhand,Haridwar,2014,Rabi,Wheat,1602.15,29.1,86.2,Sandy,Drip,91.43,53.3,1395.88,7.69,51348.08,102561.0,10734.317200000001,0.08410806081154981,0.14427767354596624,73.47408086655012,7.69,0.06549989970484568,0.03818379803421497,Lower relative use,Higher relative use,False
24,Uttarakhand,Haridwar,2014,Kharif,Pulses,766.48,30.7,49.5,Red,Drip,245.41,54.79,4245.91,1.87,34449.52,85487.0,7939.8517,0.00761990138951143,0.03413031575104947,20.13396421497394,1.87,0.057799152596263226,0.012904183084427132,Moderate relative use,Higher relative use,False
25,Uttarakhand,Haridwar,2014,Rabi,Cotton,690.85,26.8,73.8,Sandy,Sprinkler,274.36,11.15,4730.75,6.24,19899.88,246795.0,29519.88,0.02274384020994314,0.5596412556053811,52.16826084658881,6.24,0.05799503250013212,0.002356920150081911,Moderate relative use,Lower relative use,False
26,Uttarakhand,Haridwar,2014,Rabi,Maize,1173.62,18.8,55.1,Sandy,Tube Well,423.24,58.47,295.48,3.81,48149.53,16514.0,1125.7788,0.009001984689537851,0.06516162134427912,55.88872343305807,3.81,1.432381210234195,0.1978814132936239,Higher relative use,Higher relative use,False
27,Uttarakhand,Haridwar,2014,Rabi,Maize,2066.37,22.7,43.9,Black,Rain-fed,369.95,14.74,2120.24,2.51,60997.83,84211.0,5321.802399999999,0.006784700635220975,0.17028493894165533,39.71767347092782,2.51,0.17448496396634344,0.006952043164924726,Higher relative use,Lower relative use,False
28,Uttarakhand,Haridwar,2014,Kharif,Maize,1817.27,20.2,83.0,Black,Canal,393.44,17.23,4101.27,4.56,28175.12,298358.0,18701.7912,0.011590077267181781,0.2646546720835751,72.7477098557276,4.56,0.09593126031692621,0.004201137696372099,Higher relative use,Lower relative use,False
29,Uttarakhand,Haridwar,2014,Kharif,Sugarcane,1117.24,23.6,38.8,Alluvial,Rain-fed,359.33,24.31,2596.09,6.16,56714.04,180893.0,15991.914400000001,0.01714301616898116,0.2533936651583711,69.6790172913882,6.16,0.1384119965024325,0.009364082138908896,Higher relative use,Moderate relative use,False
30,Uttarakhand,Haridwar,2014,Zaid,Maize,1445.06,37.7,37.1,Black,Rain-fed,288.63,24.01,3953.5,4.39,64164.5,158918.0,17355.864999999998,0.015209784152721477,0.1828404831320283,40.19678765650689,4.39,0.07300619704059694,0.006073099785000632,Moderate relative use,Moderate relative use,False
31,Uttarakhand,Haridwar,2014,Zaid,Wheat,1675.81,18.0,85.9,Red,Sprinkler,265.38,44.57,3735.56,6.1,31303.74,198240.0,22786.915999999997,0.02298590700128118,0.13686336100516042,53.06834852070372,6.1,0.07104155735686216,0.011931276702823674,Moderate relative use,Moderate relative use,False
32,Uttarakhand,Haridwar,2014,Zaid,Pulses,1594.1,20.5,84.5,Laterite,Drip,252.85,41.68,1698.3,6.29,41383.86,105951.0,10682.306999999999,0.024876408938105596,0.15091170825335892,62.38650415121003,6.289999999999999,0.148884178295943,0.0245421892480716,Moderate relative use,Moderate relative use,False
33,Uttarakhand,Haridwar,2014,Zaid,Cotton,1130.94,34.7,51.7,Laterite,Drip,134.07,48.22,3072.64,3.55,35414.66,160960.0,10907.872,0.026478705154024017,0.07362090418913314,52.384919808373255,3.55,0.043633487815038535,0.01569334513642991,Lower relative use,Higher relative use,False
34,Uttarakhand,Haridwar,2014,Kharif,Rice,910.82,31.3,69.1,Black,Tube Well,87.35,57.36,1250.86,3.47,54747.83,41120.0,4340.4842,0.03972524327418432,0.06049511854951186,32.87338311241866,3.47,0.0698319556145372,0.04585645076187583,Lower relative use,Higher relative use,False
35,Uttarakhand,Haridwar,2014,Kharif,Rice,1219.75,35.7,66.7,Laterite,Drip,337.34,26.12,2058.3,2.28,48443.99,79435.0,4692.924,0.00675875970830616,0.08728943338437978,38.592527814215615,2.28,0.16389253267259385,0.012690084049944128,Moderate relative use,Moderate relative use,False
36,Uttarakhand,Haridwar,2014,Zaid,Maize,1847.4,31.9,60.6,Sandy,Rain-fed,272.96,55.46,694.66,2.17,36626.09,20066.0,1507.4122,0.007949882766705744,0.03912729895420122,28.886073762704058,2.17,0.3929404312901275,0.07983761840324764,Moderate relative use,Higher relative use,False
37,Uttarakhand,Nainital,2014,Kharif,Millets,1502.77,32.4,62.8,Red,Sprinkler,382.23,35.13,4496.32,6.63,37157.75,315751.0,29810.601599999998,0.017345577270229964,0.18872758326216907,70.22431677460679,6.63,0.08500951889545229,0.007813056010248383,Higher relative use,Moderate relative use,False
38,Uttarakhand,Nainital,2014,Zaid,Millets,1528.15,23.5,39.3,Black,Drip,164.29,19.94,1666.58,5.14,19333.83,88340.0,8566.2212,0.03128614036155578,0.2577733199598796,53.006756351330274,5.140000000000001,0.09857912611455796,0.01196462216035234,Moderate relative use,Moderate relative use,False
39,Uttarakhand,Nainital,2014,Zaid,Rice,1146.76,24.6,60.6,Laterite,Tube Well,74.91,50.81,2008.44,6.82,62141.29,112256.0,13697.560800000001,0.09104258443465493,0.13422554615233223,55.89213518950031,6.82,0.03729760411065304,0.025298241421202527,Lower relative use,Higher relative use,False
40,Uttarakhand,Nainital,2014,Rabi,Wheat,2096.93,24.0,56.4,Black,Rain-fed,406.66,50.97,2737.28,6.56,54393.01,304868.0,17956.5568,0.016131411990360497,0.12870315872081617,111.3762567220014,6.559999999999999,0.14856353752630347,0.018620674538227727,Higher relative use,Higher relative use,False
41,Uttarakhand,Nainital,2014,Rabi,Barley,1274.16,25.8,71.8,Sandy,Sprinkler,369.26,44.83,4218.48,7.91,63978.26,445173.0,33368.176799999994,0.021421220820018416,0.1764443453044836,105.52924276042556,7.909999999999999,0.08753389846579812,0.010627050501602474,Higher relative use,Moderate relative use,False
42,Uttarakhand,Nainital,2014,Rabi,Wheat,551.11,26.6,82.7,Laterite,Rain-fed,122.69,19.31,1704.03,4.52,29887.53,129369.0,7702.2155999999995,0.03684081832260168,0.2340756084930088,75.91943803806271,4.52,0.07199990610493946,0.011331960118073038,Lower relative use,Moderate relative use,False
43,Uttarakhand,Nainital,2014,Kharif,Rice,1246.55,33.0,37.9,Black,Canal,430.77,17.33,436.23,8.19,14133.68,29690.0,3572.7237,0.01901246604916777,0.4725908828620889,68.0604268390528,8.19,0.9874836668729797,0.03972674965041377,Higher relative use,Lower relative use,False
44,Uttarakhand,Nainital,2014,Zaid,Maize,829.38,27.5,41.3,Alluvial,Drip,429.1,30.58,1355.59,3.89,44112.31,93006.0,5273.2451,0.009065485900722443,0.1272073250490517,68.60924025700987,3.89,0.31654113706946796,0.022558443187099344,Higher relative use,Moderate relative use,False
45,Uttarakhand,Nainital,2014,Zaid,Cotton,594.58,18.5,52.2,Black,Canal,320.94,57.7,2043.61,6.42,16027.81,195568.0,13119.9762,0.020003739016638624,0.11126516464471403,95.69731993873587,6.42,0.1570456202504392,0.028234349998287347,Moderate relative use,Higher relative use,False
46,Uttarakhand,Nainital,2014,Rabi,Cotton,1930.53,30.0,41.7,Alluvial,Tube Well,443.54,48.04,1801.3,4.33,31640.26,101860.0,7799.629,0.00976236641565586,0.09013322231473772,56.548048631543885,4.33,0.24623327596735692,0.026669627491256315,Higher relative use,Higher relative use,False
47,Uttarakhand,Nainital,2014,Zaid,Millets,589.97,37.2,70.0,Laterite,Tube Well,381.48,43.9,2233.89,6.56,63170.11,156813.0,14654.318399999998,0.01719618328614868,0.14943052391799544,70.19727918563582,6.56,0.17076937539449125,0.019651818128914138,Higher relative use,Moderate relative use,False
48,Uttarakhand,Nainital,2014,Zaid,Barley,1886.32,29.8,52.7,Laterite,Rain-fed,148.2,56.4,1466.75,4.49,51775.24,90214.0,6585.7075,0.030296896086369773,0.07960992907801419,61.5060507925686,4.49,0.10103971365263337,0.03845236066132606,Lower relative use,Higher relative use,False
49,Uttarakhand,Nainital,2014,Zaid,Wheat,1289.75,24.5,61.8,Black,Canal,191.93,19.21,1470.33,5.55,58645.69,110637.0,8160.331499999999,0.02891679258062835,0.2889120249869859,75.24637326314502,5.55,0.13053532200254367,0.013065094230546885,Moderate relative use,Moderate relative use,False
50,Uttarakhand,Nainital,2014,Zaid,Sugarcane,1696.13,27.8,76.7,Black,Rain-fed,326.24,40.52,2505.02,6.99,16931.83,178882.0,17510.0898,0.021425944090240314,0.17250740375123394,71.40940990491094,6.990000000000001,0.13023448914579525,0.01617551955673009,Moderate relative use,Moderate relative use,False
51,Uttarakhand,Nainital,2014,Kharif,Pulses,1251.87,28.6,58.4,Red,Canal,348.37,23.19,3543.99,3.18,25324.39,103757.0,11269.8882,0.00912822573700376,0.1371280724450194,29.276888478804963,3.18,0.09829881009822264,0.006543472188126943,Moderate relative use,Moderate relative use,False
52,Uttarakhand,Nainital,2014,Rabi,Maize,744.77,32.8,50.2,Black,Rain-fed,285.83,46.81,3024.27,8.36,56129.3,277163.0,25282.8972,0.02924815449742854,0.17859431745353554,91.64624851617084,8.36,0.09451206406835368,0.015478115379909863,Moderate relative use,Higher relative use,False
53,Uttarakhand,Nainital,2014,Kharif,Wheat,1674.43,20.5,37.5,Sandy,Rain-fed,71.81,21.07,4726.04,5.86,51897.99,249968.0,27694.5944,0.08160423339367777,0.2781205505457997,52.891638665775154,5.86,0.015194539191373752,0.00445827796633122,Lower relative use,Moderate relative use,False
54,Uttarakhand,Nainital,2014,Zaid,Millets,1261.69,24.8,88.1,Alluvial,Drip,150.99,52.39,659.03,1.68,38062.57,15246.0,1107.1704,0.011126564673157162,0.03206718839473182,23.13399996965237,1.68,0.22910944873526246,0.07949562235406583,Moderate relative use,Higher relative use,False
55,Uttarakhand,Almora,2014,Rabi,Maize,1860.06,37.0,39.7,Laterite,Tube Well,149.28,35.69,2139.25,5.55,44776.17,187080.0,11872.8375,0.03717845659163987,0.15550574390585598,87.45120953605236,5.55,0.06978146546686922,0.016683417085427133,Lower relative use,Moderate relative use,False
56,Uttarakhand,Almora,2014,Zaid,Cotton,1948.3,37.8,51.8,Alluvial,Drip,298.41,38.53,3726.44,8.12,23012.76,305923.0,30258.692799999997,0.027210884353741492,0.21074487412405915,82.09524371786478,8.12,0.08007911035733838,0.010339627097175856,Moderate relative use,Moderate relative use,False
57,Uttarakhand,Almora,2014,Rabi,Sugarcane,712.86,19.5,35.1,Alluvial,Drip,230.2,37.66,1527.17,2.89,49468.66,66335.0,4413.5213,0.012554300608166813,0.07673924588422731,43.43655257764361,2.89,0.15073632928881525,0.024659992011367426,Moderate relative use,Moderate relative use,False
58,Uttarakhand,Almora,2014,Kharif,Cotton,1818.09,30.5,71.4,Alluvial,Drip,423.47,28.38,2768.36,5.93,60145.81,267034.0,16416.3748,0.014003353248163977,0.20894996476391825,96.45927552774927,5.930000000000001,0.15296782210406162,0.010251556878440664,Higher relative use,Moderate relative use,False
59,Uttarakhand,Almora,2014,Rabi,Cotton,1471.08,34.5,85.7,Alluvial,Sprinkler,225.66,30.78,1590.05,4.14,26429.05,88208.0,6582.806999999999,0.018346184525392183,0.13450292397660818,55.47498506336279,4.14,0.14192006540674823,0.019357881827615483,Moderate relative use,Moderate relative use,False
60,Uttarakhand,Almora,2014,Zaid,Wheat,2000.96,32.7,68.2,Red,Sprinkler,60.35,17.59,3404.06,7.48,43117.52,208981.0,25462.3688,0.12394366197183099,0.4252416145537237,61.391691098276766,7.48,0.017728829691603557,0.005167358977221318,Lower relative use,Lower relative use,False
61,Uttarakhand,Almora,2014,Rabi,Wheat,1773.6,21.5,63.5,Red,Tube Well,226.89,20.3,4985.03,4.38,55154.98,386263.0,21834.431399999998,0.01930450879280709,0.21576354679802953,77.48458885904398,4.38,0.04551426972355232,0.0040721921432769715,Moderate relative use,Moderate relative use,False
62,Uttarakhand,Almora,2014,Kharif,Pulses,977.9,20.1,43.8,Red,Rain-fed,214.66,32.25,3346.66,4.12,52306.49,115366.0,13788.2392,0.019193142644181496,0.12775193798449613,34.47198101988251,4.12,0.06414156203498414,0.009636473379429043,Moderate relative use,Moderate relative use,False
63,Uttarakhand,Almora,2014,Zaid,Pulses,608.66,33.5,82.6,Laterite,Tube Well,379.97,5.06,4359.9,4.57,14872.82,262696.0,19924.743,0.012027265310419243,0.9031620553359685,60.2527580907819,4.57,0.08715108144682218,0.001160577077455905,Higher relative use,Lower relative use,False
64,Uttarakhand,Almora,2014,Kharif,Wheat,766.4,29.0,86.0,Red,Sprinkler,225.25,43.4,694.99,8.3,44270.2,59951.0,5768.417,0.036847946725860156,0.19124423963133644,86.26167282982489,8.3,0.32410538281126344,0.06244694168261414,Moderate relative use,Moderate relative use,False
65,Uttarakhand,Almora,2014,Zaid,Wheat,1394.05,19.9,89.6,Red,Tube Well,415.17,30.38,675.58,7.27,38413.9,74487.0,4911.4666,0.017510899149745886,0.23930217248189598,110.256372302318,7.27,0.6145386186684034,0.044968767577488966,Higher relative use,Moderate relative use,False
66,Uttarakhand,Almora,2014,Rabi,Millets,2164.44,22.9,65.3,Red,Sprinkler,203.43,55.7,2590.38,7.62,57793.43,212437.0,19738.695600000003,0.03745760212358059,0.13680430879712746,82.00997537040897,7.620000000000001,0.07853287934588747,0.02150263667878844,Moderate relative use,Higher relative use,False
67,Uttarakhand,Almora,2014,Zaid,Cotton,1876.99,23.7,51.4,Sandy,Tube Well,284.78,59.94,2499.24,2.28,40544.77,65252.0,5698.267199999999,0.00800618020928436,0.038038038038038034,26.108737056065046,2.28,0.11394663977849266,0.023983290920439816,Moderate relative use,Higher relative use,False
68,Uttarakhand,Almora,2014,Rabi,Millets,2079.13,35.4,88.9,Laterite,Drip,145.52,26.06,4294.46,4.2,28863.35,229603.00000000003,18036.732,0.028862012094557448,0.1611665387567153,53.46492923440899,4.2,0.03388551762037602,0.006068283323165194,Lower relative use,Moderate relative use,False
69,Uttarakhand,Almora,2014,Kharif,Millets,2136.68,20.5,88.1,Laterite,Drip,182.8,10.52,4240.69,1.93,60253.41,66732.0,8184.531699999999,0.010557986870897155,0.1834600760456274,15.73611841469195,1.93,0.043106192624313505,0.0024807283720337963,Moderate relative use,Lower relative use,False
70,Uttarakhand,Almora,2014,Rabi,Rice,1245.08,37.4,53.6,Laterite,Sprinkler,327.08,40.74,4273.65,7.42,57545.14,374187.0,31710.482999999997,0.022685581509110923,0.18213058419243985,87.55677231406409,7.42,0.07653411018684263,0.009532834930328877,Moderate relative use,Moderate relative use,False
71,Uttarakhand,Almora,2014,Kharif,Wheat,1511.43,22.7,72.6,Laterite,Drip,164.95,17.51,542.86,8.34,52299.59,68088.0,4527.4524,0.05056077599272507,0.47629925756710445,125.42460302840512,8.34,0.30385366392808455,0.032255093394245295,Moderate relative use,Lower relative use,False
72,Uttarakhand,Almora,2014,Kharif,Cotton,2026.16,18.9,78.8,Black,Canal,167.35,25.62,813.29,5.08,41994.19,65795.0,4131.5132,0.030355542276665672,0.19828259172521467,80.89980203863321,5.080000000000001,0.20576915983228614,0.03150167836810978,Moderate relative use,Moderate relative use,False
73,Uttarakhand,Pauri,2014,Rabi,Barley,1515.48,22.8,85.2,Sandy,Drip,107.25,30.36,1344.49,3.06,12498.06,66017.0,4114.1394,0.028531468531468533,0.1007905138339921,49.10188993596085,3.06,0.07977002432148993,0.022581053038698687,Lower relative use,Moderate relative use,False
74,Uttarakhand,Pauri,2014,Rabi,Rice,1195.11,24.9,67.3,Alluvial,Drip,305.58,28.34,1325.48,7.37,22558.5,115730.0,9768.7876,0.024118070554355654,0.2600564573041637,87.31176630352778,7.369999999999999,0.23054289766726016,0.021380933699489995,Moderate relative use,Moderate relative use,False
75,Uttarakhand,Pauri,2014,Zaid,Barley,1429.46,29.5,89.6,Alluvial,Sprinkler,168.09,58.79,3325.33,3.2,41994.24,158105.0,10641.056,0.0190374204295318,0.05443102568464025,47.54565712275173,3.2,0.05054836662827449,0.01767944835550156,Moderate relative use,Higher relative use,False
76,Uttarakhand,Pauri,2014,Zaid,Millets,1899.11,36.1,77.7,Black,Canal,142.05,49.11,1173.12,2.59,25283.22,47264.0,3038.3807999999995,0.018233016543470607,0.052738749745469354,40.289143480632845,2.59,0.12108735679214405,0.04186272504091653,Lower relative use,Higher relative use,False
77,Uttarakhand,Pauri,2014,Zaid,Wheat,956.08,26.8,66.9,Red,Sprinkler,342.94,9.96,1546.04,6.66,21308.92,95981.0,10296.6264,0.01942030675919986,0.6686746987951807,62.08183488137435,6.659999999999999,0.2218183229411917,0.006442265400636466,Moderate relative use,Lower relative use,False
78,Uttarakhand,Pauri,2014,Kharif,Cotton,1894.85,23.1,80.4,Black,Tube Well,242.74,49.36,3758.14,3.67,18103.99,243145.0,13792.3738,0.01511905742770042,0.07435170178282009,64.69822837893213,3.67,0.06459046230316061,0.01313415679032713,Moderate relative use,Higher relative use,False
79,Uttarakhand,Pauri,2014,Rabi,Pulses,562.55,25.9,49.5,Alluvial,Drip,99.44,25.27,3770.16,3.11,32194.35,168673.0,11725.1976,0.031275140788415125,0.12307083498219232,44.73895007108452,3.11,0.026375538438686952,0.006702633309992149,Lower relative use,Moderate relative use,False
80,Uttarakhand,Pauri,2014,Rabi,Millets,445.04,35.7,65.9,Alluvial,Drip,416.1,17.18,409.76,7.21,60197.54,32563.0,2954.3696,0.01732756548906513,0.41967403958090804,79.46846934791097,7.21,1.015472471690746,0.04192698164779383,Higher relative use,Lower relative use,False
81,Uttarakhand,Pauri,2014,Zaid,Wheat,2103.27,24.1,62.1,Laterite,Sprinkler,88.88,53.8,764.75,4.51,47535.77,53223.0,3449.0225,0.050742574257425746,0.08382899628252788,69.59529257927427,4.51,0.11622098725073553,0.0703497875122589,Lower relative use,Higher relative use,False
82,Uttarakhand,Pauri,2014,Kharif,Maize,1993.74,31.1,80.9,Red,Canal,296.26,56.65,1470.73,6.24,23515.29,114230.0,9177.3552,0.021062580166070346,0.11015004413062666,77.66891271681409,6.24,0.20143738143642953,0.0385182868371489,Moderate relative use,Higher relative use,False
83,Uttarakhand,Pauri,2014,Zaid,Pulses,1380.04,37.6,54.7,Sandy,Canal,209.26,15.44,698.58,7.39,36100.02,75516.0,5162.5062,0.03531491923922393,0.4786269430051813,108.09928712531133,7.39,0.2995505167625755,0.022101978298834778,Moderate relative use,Lower relative use,False
84,Uttarakhand,Pauri,2014,Rabi,Wheat,1816.23,22.9,41.9,Black,Sprinkler,275.83,8.77,3849.27,2.71,23445.42,174175.0,10431.5217,0.009824892143711707,0.3090079817559863,45.248839390325955,2.71,0.07165774289670508,0.002278354077526388,Moderate relative use,Lower relative use,False
85,Uttarakhand,Pauri,2014,Kharif,Wheat,899.09,37.7,89.3,Sandy,Rain-fed,266.09,48.92,638.64,7.53,18985.57,55699.0,4808.9592,0.028298695929948516,0.15392477514309075,87.21501941625955,7.53,0.41665100839283475,0.07660027558561945,Moderate relative use,Higher relative use,False
86,Uttarakhand,Pauri,2014,Zaid,Wheat,713.64,19.0,75.8,Black,Sprinkler,260.43,46.01,2433.61,6.88,39201.61,152205.0,16743.236800000002,0.0264178474062128,0.14953271028037385,62.542888959200525,6.880000000000001,0.10701386006796487,0.01890606958386923,Moderate relative use,Moderate relative use,False
87,Uttarakhand,Pauri,2014,Kharif,Wheat,1709.04,36.2,71.2,Laterite,Tube Well,170.65,40.38,252.64,8.49,56906.82,26303.0,2144.9136,0.04975095224142983,0.21025260029717682,104.11257124762508,8.49,0.6754670677644079,0.15983217226092467,Moderate relative use,Moderate relative use,False
88,Uttarakhand,Pauri,2014,Rabi,Rice,2018.68,24.4,43.2,Laterite,Sprinkler,100.48,39.34,2968.29,6.4,32187.93,265463.0,18997.056,0.06369426751592357,0.1626842907981698,89.43297319332007,6.4,0.03385113988188486,0.013253422003914713,Lower relative use,Moderate relative use,False
89,Uttarakhand,Pauri,2014,Rabi,Barley,578.52,32.0,81.9,Laterite,Tube Well,310.37,47.29,3632.12,2.77,35932.41,103476.0,10060.9724,0.008924831652543737,0.05857475153309368,28.489146834355694,2.77,0.08545147186766958,0.013019944274968888,Moderate relative use,Higher relative use,False
